replic, TEudent, feature, technique, executionTime
1, 1, F1, TG, 880
1, 1, F2, TE, 841
1, 2, F1, TE, 723
1, 2, F2, TG, 942
2, 1, F1, TG, 1016
2, 1, F2, TE, 855
2, 2, F1, TE, 786
2, 2, F2, TG, 949
3, 1, F1, TG, 656
3, 1, F2, TE, 629
3, 2, F1, TE, 733
3, 2, F2, TG, 940
4, 1, F1, TG, 1137
4, 1, F2, TE, 953
4, 2, F1, TE, 1139
4, 2, F2, TG, 1385
5, 1, F1, TG, 1206
5, 1, F2, TE, 955
5, 2, F1, TE, 673
5, 2, F2, TG, 945
6, 1, F1, TG, 807
6, 1, F2, TE, 727
6, 2, F1, TE, 885
6, 2, F2, TG, 964
7, 1, F1, TG, 1097
7, 1, F2, TE, 1033
7, 2, F1, TE, 816
7, 2, F2, TG, 1229
8, 1, F1, TG, 1025
8, 1, F2, TE, 802
8, 2, F1, TE, 1030
8, 2, F2, TG, 873
9, 1, F1, TG, 894
9, 1, F2, TE, 854
9, 2, F1, TE, 391
9, 2, F2, TG, 605
